,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
0,Sitka,42,US,2019-09-28,79,37.17,-99.65,70.0,13.0
1,Mandurah,0,AU,2019-09-28,53,-32.55,115.7,75.99,8.05
2,Mogadishu,82,SO,2019-09-28,88,2.04,45.34,75.68,10.65
3,Sechura,6,PE,2019-09-28,89,-5.56,-80.82,62.83,12.44
4,Khash,0,IR,2019-09-28,23,28.22,61.21,71.14,1.23
5,Hobart,75,AU,2019-09-28,41,-42.88,147.33,57.2,12.75
6,Haines Junction,80,CA,2019-09-28,47,60.75,-137.51,32.79,2.59
7,Nikolskoye,20,RU,2019-09-28,93,59.7,30.79,44.01,8.95
8,College,1,US,2019-09-28,39,64.86,-147.8,50.0,5.82
9,Laguna,75,BZ,2019-09-28,88,16.17,-88.94,80.6,2.13
10,Busselton,0,AU,2019-09-28,42,-33.64,115.35,73.99,7.74
11,Bytow,75,PL,2019-09-28,93,54.17,17.49,54.0,9.17
12,Isangel,68,VU,2019-09-28,61,-19.55,169.27,80.6,10.29
13,Kapaa,1,US,2019-09-28,70,22.08,-159.32,86.0,11.41
14,Boguchany,100,RU,2019-09-28,79,58.38,97.46,35.86,10.92
15,Rikitea,6,PF,2019-09-28,86,-23.12,-134.97,73.32,11.18
16,Tazovskiy,100,RU,2019-09-28,93,67.47,78.7,31.27,3.33
17,Noumea,0,NC,2019-09-28,48,-22.28,166.46,84.2,12.75
18,Georgetown,40,GY,2019-09-28,94,6.8,-58.16,80.6,4.7
19,Pionerskiy,95,RU,2019-09-28,84,61.2,62.86,31.47,6.69
20,Angoche,0,MZ,2019-09-28,77,-16.23,39.91,65.24,2.95
21,Huai Thalaeng,30,TH,2019-09-28,83,15.0,102.65,84.0,6.93
22,Padang,100,ID,2019-09-28,85,-0.92,100.36,78.85,14.92
23,Kodiak,75,US,2019-09-28,93,39.95,-94.76,64.4,3.36
24,Ormara,11,PK,2019-09-28,74,25.21,64.64,82.61,7.54
25,Butaritari,100,KI,2019-09-28,68,3.07,172.79,84.61,7.23
26,Khatanga,65,RU,2019-09-28,59,71.98,102.47,31.49,5.93
27,Sola,90,TZ,2019-09-28,76,-3.17,33.8,69.76,2.59
28,Balakirevo,66,RU,2019-09-28,94,56.51,38.84,39.23,6.49
29,Bluff,0,AU,2019-09-28,29,-23.58,149.07,87.61,3.47
30,Margate,75,AU,2019-09-28,41,-43.03,147.26,57.2,12.75
31,Ribeira Grande,0,PT,2019-09-28,88,38.52,-28.7,72.75,22.3
32,Bubaque,34,GW,2019-09-28,79,11.28,-15.83,80.68,8.57
33,Punta Arenas,75,CL,2019-09-28,93,-53.16,-70.91,39.2,5.82
34,Chokurdakh,100,RU,2019-09-28,88,70.62,147.9,30.91,3.91
35,Cape Town,40,ZA,2019-09-28,87,-33.93,18.42,64.0,6.93
36,Mataura,62,NZ,2019-09-28,70,-46.19,168.86,55.99,13.0
37,Atbasar,33,KZ,2019-09-28,76,51.81,68.36,34.78,17.54
38,Salinas,1,US,2019-09-28,67,36.67,-121.66,61.0,14.99
39,Avarua,40,CK,2019-09-28,73,-21.21,-159.78,75.2,6.93
40,Usoke,75,TZ,2019-09-28,70,-5.09,32.32,69.07,3.27
41,Pevek,100,RU,2019-09-28,97,69.7,170.27,33.94,26.17
42,Teahupoo,75,PF,2019-09-28,69,-17.83,-149.27,82.4,11.41
43,Dalbandin,0,PK,2019-09-28,6,28.9,64.41,84.77,1.7
44,Port Alfred,100,ZA,2019-09-28,92,-33.59,26.89,64.99,2.3
45,Ambovombe,32,MG,2019-09-28,81,-25.18,46.09,70.3,10.51
46,Ambilobe,72,MG,2019-09-28,73,-13.19,49.05,76.0,6.49
