Team_Key,Team_LongName,2018_Revenue
17,Arizona Diamondbacks,275
12,Atlanta Braves,344
28,Baltimore Orioles,251
7,Boston Red Sox,516
4,Chicago Cubs,452
23,Chicago White Sox,272
19,Cincinnati Reds,257
21,Cleveland Indians,282
6,Colorado Rockies,291
25,Detroit Tigers,276
9,Houston Astros,368
26,Kansas City Royals,244
5,Los Angeles Angels,348
1,Los Angeles Dodgers,549
30,Miami Marlins,224
8,Milwaukee Brewers,288
15,Minnesota Twins,269
13,New York Mets,340
3,New York Yankees,668
24,Oakland Athletics,218
10,Philadelphia Phillies,341
27,Pittsburgh Pirates,254
14,San Diego Padres,277
11,San Francisco Giants,462
20,Seattle Mariners,320
2,St. Louis Cardinals,356
29,Tampa Bay Rays,228
18,Texas Rangers,324
22,Toronto Blue Jays,265
16,Washington Nationals,336
