Team_Key,Team_LongName,Payroll_OpeningDay
17,Arizona Diamondbacks,107.58
12,Atlanta Braves,110.53
28,Baltimore Orioles,67.37
7,Boston Red Sox,213.19
4,Chicago Cubs,208.2
23,Chicago White Sox,96.7
19,Cincinnati Reds,128.82
21,Cleveland Indians,107.35
6,Colorado Rockies,149.34
25,Detroit Tigers,96.24
9,Houston Astros,177.44
26,Kansas City Royals,83.08
5,Los Angeles Angels,167.46
1,Los Angeles Dodgers,152.86
30,Miami Marlins,62.91
8,Milwaukee Brewers,130.39
15,Minnesota Twins,113.59
13,New York Mets,161.87
3,New York Yankees,206.41
24,Oakland Athletics,96.83
10,Philadelphia Phillies,172.37
27,Pittsburgh Pirates,65.92
14,San Diego Padres,94.43
11,San Francisco Giants,138.03
20,Seattle Mariners,135.8
2,St. Louis Cardinals,150.37
29,Tampa Bay Rays,68.98
18,Texas Rangers,102.46
22,Toronto Blue Jays,66.63
16,Washington Nationals,181.4
