Team_Key,Team_LongName,Team_CityName,Team_Abrv,Team_ShortName
17,Arizona Diamondbacks,Arizona,Arizona,Diamondbacks
12,Atlanta Braves,Atlanta,Atlanta,Braves
28,Baltimore Orioles,Baltimore,Baltimore,Orioles
7,Boston Red Sox,Boston,Boston,Red Sox
4,Chicago Cubs,Chicago,Chicago Cubs,Cubs
23,Chicago White Sox,Chicago,Chicago White Sox,White Sox
19,Cincinnati Reds,Cincinnati,Cincinnati,Reds
21,Cleveland Indians,Cleveland,Cleveland,Indians
6,Colorado Rockies,Colorado,Colorado,Rockies
25,Detroit Tigers,Detroit,Detroit,Tigers
9,Houston Astros,Houston,Houston,Astros
26,Kansas City Royals,Kansas,Kansas City,Royals
5,Los Angeles Angels,Los Angeles,LA Angels,Angels
1,Los Angeles Dodgers,Los Angeles,LA Dodgers,Dodgers
30,Miami Marlins,Miami,Miami,Marlins
8,Milwaukee Brewers,Milwaukee,Milwaukee,Brewers
15,Minnesota Twins,Minnesota,Minnesota,Twins
13,New York Mets,New York,NY Mets,Mets
3,New York Yankees,New York,NY Yankees,Yankees
24,Oakland Athletics,Oakland,Oakland,Athletics
10,Philadelphia Phillies,Philadelphia,Philadelphia,Phillies
27,Pittsburgh Pirates,Pittsburgh,Pittsburgh,Pirates
14,San Diego Padres,San Diego,San Diego,Padres
11,San Francisco Giants,San Francisco,San Francisco,Giants
20,Seattle Mariners,Seattle,Seattle,Mariners
2,St. Louis Cardinals,St. Louis,St. Louis,Louis
29,Tampa Bay Rays,Tampa Bay,Tampa Bay,Bay
18,Texas Rangers,Texas,Texas,Rangers
22,Toronto Blue Jays**,Toronto,Toronto,Blue Jays
16,Washington Nationals,Washington,Washington,Nationals
